time,open,high,low,close,Volume,Volume MA
2023-06-03T00:40:00+02:00,27350.2,27353.82,27343.95,27353.79,0.61211,0.2532969999999933
2023-06-03T00:41:00+02:00,27350.84,27352.3,27339.58,27343.04,0.16404,0.2591829999999933
2023-06-03T00:42:00+02:00,27343.01,27345.62,27342.37,27345.38,0.55511,0.2856794999999933
2023-06-03T00:43:00+02:00,27345.36,27350.3,27332.65,27343.36,1.26057,0.3048144999999933
2023-06-03T00:44:00+02:00,27344.72,27344.72,27339.73,27339.73,0.07779,0.30747099999999333
2023-06-03T00:45:00+02:00,27342.76,27342.77,27337.58,27339.98,0.13275,0.3132774999999933
2023-06-03T00:46:00+02:00,27341.35,27342.47,27341.35,27341.36,0.09946,0.31779899999999334
2023-06-03T00:47:00+02:00,27341.35,27341.35,27328.41,27328.41,0.46753,0.33652849999999335
2023-06-03T00:48:00+02:00,27328.36,27328.36,27323.14,27326.18,0.10441,0.3363239999999933
2023-06-03T00:49:00+02:00,27326.18,27340.34,27322.41,27331.9,0.29361,0.34801049999999334
2023-06-03T00:50:00+02:00,27327.47,27329.54,27323.07,27329.54,0.10299,0.35210149999999335
2023-06-03T00:51:00+02:00,27323.86,27327.72,27323.85,27324.92,0.02601,0.3382504999999934
2023-06-03T00:52:00+02:00,27323.33,27324.07,27318.1,27322.22,0.06876,0.3357444999999934
2023-06-03T00:53:00+02:00,27329.63,27329.68,27323.62,27323.62,0.18072,0.3397164999999934
2023-06-03T00:54:00+02:00,27320.78,27322.51,27320.73,27321.99,0.03524,0.3308604999999934
2023-06-03T00:55:00+02:00,27323.02,27324.14,27318.15,27318.15,0.04158,0.3321974999999934
2023-06-03T00:56:00+02:00,27319.32,27326.42,27319.32,27325.54,0.27062,0.31958849999999334
2023-06-03T00:57:00+02:00,27325.36,27325.53,27323.95,27323.96,0.01948,0.3084489999999933
2023-06-03T00:58:00+02:00,27323.96,27323.96,27322.46,27322.46,0.03516,0.2796459999999933
2023-06-03T00:59:00+02:00,27322.46,27325.53,27321.97,27325.53,0.06235,0.23051449999999335
2023-06-03T01:00:00+02:00,27325.54,27334.62,27325.53,27331.45,0.20039,0.20992849999999336
2023-06-03T01:01:00+02:00,27330.6,27332.13,27328.83,27328.84,0.044,0.20392649999999332
2023-06-03T01:02:00+02:00,27328.83,27331.35,27321.37,27322.57,0.27041,0.18969149999999332
2023-06-03T01:03:00+02:00,27325.57,27327.18,27323.19,27323.19,0.12605,0.13296549999999333
2023-06-03T01:04:00+02:00,27323.39,27323.39,27319.07,27319.09,0.02705,0.13042849999999334
2023-06-03T01:05:00+02:00,27323.72,27325.61,27321.96,27325.61,0.01101,0.12434149999999333
2023-06-03T01:06:00+02:00,27325.57,27325.57,27321.95,27322.68,0.17724,0.1282304999999933
2023-06-03T01:07:00+02:00,27323.39,27329.31,27323.38,27327.07,0.05114,0.10741099999999333
2023-06-03T01:08:00+02:00,27327.07,27329.02,27325.88,27325.88,0.41428,0.12290449999999331
2023-06-03T01:09:00+02:00,27328.84,27328.84,27326.17,27326.17,0.01047,0.10874749999999331
2023-06-03T01:10:00+02:00,27323.01,27327.17,27323.01,27326.62,0.03453,0.10532449999999331
2023-06-03T01:11:00+02:00,27324.29,27328.7,27324.29,27325.94,0.09016,0.10853199999999333
2023-06-03T01:12:00+02:00,27322.78,27324.84,27322.78,27324.08,0.06349,0.1082684999999933
2023-06-03T01:13:00+02:00,27324.39,27326.32,27324.39,27326.3,0.11543,0.1050039999999933
2023-06-03T01:14:00+02:00,27325.3,27330.22,27325.3,27330.22,0.08947,0.1077154999999933
2023-06-03T01:15:00+02:00,27330.22,27330.22,27322.9,27322.9,0.05461,0.10836699999999329
2023-06-03T01:16:00+02:00,27322.92,27322.92,27312.1,27312.12,0.78388,0.13402999999999327
2023-06-03T01:17:00+02:00,27312.11,27312.67,27310.31,27311.66,0.30741,0.14842649999999327
